,E01615,E27064,E26813,E00863,E02877,E01697,E03355,E05254,E00947,E05353,E01573,E01206,E03186,E03219,E04760,E02873,E04036,E01254,E01495,E01971
CurrentYTDDuration_jpcrp040300-q1r_E01615-000ServiceRevenueReportableSegmentsMember,7,,,,,,,,,,,,,,,,,,,
Prior2YearNonConsolidatedInstant,26,7.0,,20.0,7.0,12.0,12.0,20.0,18.0,18.0,25.0,22.0,19.0,18.0,18.0,30.0,16.0,22.0,22.0,11.0
Prior1YearDuration_NonConsolidatedMember_ReportableSegmentsMember,10,,,,,18.0,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,2,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_No5MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
CurrentYearInstant_NonConsolidatedMember_ReportableSegmentsMember,2,,,,,3.0,,,,,,,,,,,,,,
Prior1YearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000ServiceRevenueReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentQuarterInstant_No7MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
Prior1YearDuration_NonConsolidatedMember_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,10,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_ValuationDifferenceOnAvailableForSaleSecuritiesMember,2,3.0,2.0,2.0,,,,3.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,3.0,2.0,5.0
Prior1YearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_No7MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
CurrentYearInstant_jpcrp030000-asr_E01615-000OtherMachineReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000CrusherAndGrinderReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
Prior1YearInstant_CapitalSurplusMember,2,6.0,4.0,4.0,6.0,,4.0,6.0,5.0,4.0,5.0,5.0,,,2.0,2.0,6.0,8.0,5.0,10.0
CurrentYearDuration_jpcrp030000-asr_E01615-000CrusherAndGrinderReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_TotalOfReportableSegmentsAndOthersMember,12,,,,18.0,,,,,18.0,13.0,24.0,,,9.0,7.0,,18.0,12.0,
Prior1YearInstant_NonConsolidatedMember_CapitalStockMember,8,6.0,4.0,4.0,6.0,7.0,4.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,7.0,2.0,6.0,8.0,5.0,10.0
CurrentYearDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,12,,,,14.0,,,,,21.0,,,,,,6.0,,21.0,10.0,
CurrentYTDDuration_jpcrp040300-q3r_E01615-000ServiceRevenueReportableSegmentsMember,8,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember,344,211.0,114.0,140.0,211.0,268.0,134.0,170.0,136.0,130.0,127.0,159.0,126.0,155.0,216.0,66.0,199.0,208.0,121.0,315.0
Prior1YearInstant_NonConsolidatedMember_ValuationDifferenceOnAvailableForSaleSecuritiesMember,8,6.0,,4.0,,5.0,,6.0,5.0,4.0,5.0,5.0,2.0,4.0,7.0,2.0,,8.0,5.0,10.0
Prior1YearInstant_NonConsolidatedMember_LegalCapitalSurplusMember,8,6.0,4.0,4.0,6.0,7.0,4.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,7.0,2.0,6.0,8.0,5.0,10.0
Prior2YearInstant_NonConsolidatedMember_RetainedEarningsBroughtForwardMember,2,3.0,,2.0,3.0,3.0,,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0,3.0,3.0
CurrentYearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000LiningProductsReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_jpcrp030000-asr_E01615-000LiningProductsReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_ReportableSegmentsMember,12,,18.0,,22.0,,,,,21.0,,,,,,7.0,15.0,18.0,11.0,35.0
CurrentYearNonConsolidatedDuration,251,44.0,39.0,202.0,108.0,143.0,116.0,89.0,162.0,174.0,164.0,173.0,203.0,151.0,190.0,218.0,131.0,216.0,166.0,62.0
Prior2YearInstant_NonConsolidatedMember_CapitalStockMember,4,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0,3.0,5.0
CurrentQuarterNonConsolidatedInstant,149,,,,,80.0,,,,,,,103.0,113.0,,,,,,
CurrentQuarterInstant_No6MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
CurrentYTDDuration_jpcrp040300-q2r_E01615-000EnvironmentEquipmentReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_ReserveForAdvancedDepreciationOfNoncurrentAssetsMember,4,,,,,,,,,,2.0,2.0,,,1.0,,,,,
CurrentYearDuration_jpcrp030000-asr_E01615-000LiningProductsReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
Prior1YearInstant_ValuationAndTranslationAdjustmentsMember,2,6.0,4.0,4.0,,,,6.0,5.0,,5.0,5.0,,,2.0,,,8.0,5.0,
CurrentYearInstant_No3MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
CurrentYTDDuration_ReportableSegmentsMember,22,,,,26.0,,,,,12.0,,,,,,8.0,18.0,19.0,18.0,
CurrentYearInstant_No1MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
Prior2YearInstant_NonConsolidatedMember_RetainedEarningsMember,4,3.0,,2.0,,3.0,,3.0,3.0,2.0,3.0,3.0,2.0,,4.0,1.0,3.0,5.0,3.0,5.0
Prior1YearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000OtherMachineReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_GeneralReserveMember,4,,,,3.0,3.0,,,2.0,,2.0,2.0,,2.0,3.0,,,3.0,2.0,
Prior1YearInstant_NonConsolidatedMember_CapitalSurplusMember,8,6.0,4.0,4.0,,7.0,4.0,6.0,5.0,4.0,,5.0,4.0,,7.0,2.0,6.0,,5.0,10.0
Prior2YearInstant_NonConsolidatedMember_ReserveForDividends1Member,4,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_jpcrp040300-q1r_E01615-000CrusherAndGrinderReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q3r_E01615-000EnvironmentEquipmentReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
Prior4YearDuration_NonConsolidatedMember,16,9.0,,6.0,6.0,8.0,2.0,9.0,6.0,6.0,6.0,6.0,8.0,10.0,10.0,3.0,15.0,9.0,4.0,7.0
Prior1YTDDuration_jpcrp040300-q1r_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
Prior1YearInstant_NonConsolidatedMember_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,2,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_ShareholdersEquityMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
CurrentYearDuration_NonConsolidatedMember_ReserveForAdvancedDepreciationOfNoncurrentAssetsMember,4,,,,,,,,,,2.0,2.0,,,2.0,,,,,
CurrentYTDDuration_jpcrp040300-q2r_E01615-000OtherMachineReportableSegmentsMember,5,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_ValuationAndTranslationAdjustmentsMember,2,3.0,2.0,2.0,,,,3.0,2.0,,2.0,2.0,,,1.0,1.0,,3.0,2.0,
Prior1YTDDuration_TotalOfReportableSegmentsAndOthersMember,10,,20.0,,27.0,,,,,16.0,24.0,20.0,,,8.0,8.0,,19.0,24.0,28.0
CurrentQuarterInstant_No8MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
CurrentYTDNonConsolidatedDuration,84,,,,,47.0,,,,,,,88.0,79.0,,,,,,
FilingDateInstant,20,18.0,16.0,16.0,20.0,20.0,16.0,18.0,16.0,12.0,16.0,16.0,16.0,16.0,16.0,6.0,18.0,18.0,16.0,24.0
Prior1YearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000LiningProductsReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_jpcrp040300-q2r_E01615-000OtherMachineReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_RetainedEarningsMember,4,6.0,2.0,4.0,4.0,,4.0,6.0,4.0,4.0,3.0,2.0,,,3.0,2.0,6.0,3.0,4.0,6.0
Prior1YearInstant_NonConsolidatedMember_GeneralReserveMember,8,,,,6.0,7.0,,,5.0,,5.0,5.0,,4.0,7.0,,,8.0,5.0,4.0
Prior2YearInstant_NonConsolidatedMember_GeneralReserveMember,4,,,,3.0,3.0,,,3.0,,3.0,3.0,,2.0,4.0,,,5.0,3.0,4.0
CurrentYearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000LiningProductsReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_NonConsolidatedMember,228,93.0,68.0,96.0,141.0,231.0,85.0,112.0,81.0,74.0,60.0,80.0,121.0,140.0,123.0,31.0,143.0,103.0,61.0,168.0
CurrentYearInstant_NonConsolidatedMember_ValuationAndTranslationAdjustmentsMember,4,3.0,,2.0,,3.0,,3.0,,2.0,2.0,2.0,,2.0,3.0,1.0,,3.0,2.0,5.0
CurrentYearDuration_NonConsolidatedMember_TotalOfReportableSegmentsAndOthersMember,12,,,,,,,,,,,,,,,,,,,
