,Date,DateOrdinary,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
207,2015-12-31,735963,E02272,revenuesfromexternalcustomers,61993000000,CurrentYTDDuration_jpcrp040300-q3r_E02272-000ImagingSystemsBusinessGroupReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
208,2015-12-31,735963,E02272,revenuesfromexternalcustomers,11805000000,CurrentYTDDuration_OtherReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
209,2015-12-31,735963,E02272,revenuesfromexternalcustomers,592541000000,CurrentYTDDuration_ReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
210,2015-12-31,735963,E02272,revenuesfromexternalcustomers,592541000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
211,2015-12-31,735963,E02272,transactionswithothersegments,0,CurrentYTDDuration_jpcrp040300-q3r_E02272-000MedicalSystemsBusinessGroupMember,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
212,2015-12-31,735963,E02272,transactionswithothersegments,38000000,CurrentYTDDuration_jpcrp040300-q3r_E02272-000ScientificSolutionsBusinessGroupReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
213,2015-12-31,735963,E02272,transactionswithothersegments,10000000,CurrentYTDDuration_jpcrp040300-q3r_E02272-000ImagingSystemsBusinessGroupReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
214,2015-12-31,735963,E02272,transactionswithothersegments,279000000,CurrentYTDDuration_OtherReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
215,2015-12-31,735963,E02272,transactionswithothersegments,327000000,CurrentYTDDuration_ReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
216,2015-12-31,735963,E02272,netsales,445224000000,CurrentYTDDuration_jpcrp040300-q3r_E02272-000MedicalSystemsBusinessGroupMember,Duration,2015-04-01:2015-12-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006TJK&amp;lgKbn=2&/E01EW/download?1462603952015
